period,papers,identity,active_contributors,study_contributors,papers_per_active_contributor,papers_per_study_contributor,coauthored_papers_per_active_contributor,fractional_top10_share,coauthored_top10_share,fractional_top10_mean,fractional_other90_mean,coauthored_top10_mean,coauthored_other90_mean
2010,10724,names,15051,231929,0.712510796624809,0.04623828844172139,1.2776559697030099,0.2776255084279142,0.2276235049401976,1.978111721733408,0.5718884716127425,2.9082452993156602,1.0964793775238264
2010,10724,ids,12741,178730,0.8416921748685346,0.060001119006322386,1.5093006828349422,0.29990390194371913,0.2616900676027041,2.5242676747856874,0.6547393415444066,3.949689977238835,1.2381463167900655
2011,12024,names,17125,231929,0.7021313868613138,0.05184345209094163,1.287941605839416,0.2807922844786617,0.22887196227783824,1.9715307612095934,0.5610870119337272,2.9477372262773724,1.1035198702351987
2011,12024,ids,14781,178730,0.8134767607063121,0.06727466010182957,1.4921859143495027,0.2993098129138548,0.2606682988755894,2.4348157705677496,0.6333279818328191,3.889655638996008,1.2258003893887799
2012,13159,names,19079,231929,0.6897112007966875,0.056737191123145445,1.2923633314114995,0.2763046173962657,0.23160968487650566,1.9057038945004772,0.5546009014962664,2.9932386393416843,1.1033771860859236
2012,13159,ids,16364,178730,0.8041432412613053,0.07362502098136854,1.5067831825959423,0.29799976960665464,0.2661394330210488,2.3963450062661744,0.627231934038542,4.010144219017356,1.2286319563268964
2013,14493,names,21338,231929,0.6792107976380167,0.062488951360114516,1.2897647389633518,0.277807184420722,0.23050034519094512,1.8868963931997018,0.5450235092422738,2.9729121754616177,1.1027483571302112
2013,14493,ids,18346,178730,0.789981467349831,0.08108879315168131,1.5001090155892292,0.29989264111081537,0.26502670687838376,2.369096286721382,0.6145242651974364,3.9756895236018748,1.2250445146989353
2014,15392,names,23320,231929,0.6600343053173242,0.06636513760676759,1.2832332761578045,0.27256861944361943,0.22629908103592314,1.7990463938577146,0.5334774065906142,2.9039451114922814,1.1031541833428626
2014,15392,ids,19898,178730,0.7735450799075284,0.08611872657080513,1.503919991958991,0.2978341408028908,0.2621019214703425,2.303881342465622,0.6035077174010735,3.9418031963011355,1.233044080365419
2015,16507,names,25292,231929,0.6526569666297644,0.07117264335206033,1.2756602878380516,0.270563594473148,0.22410116538556904,1.7658521484929046,0.5289686130894156,2.858769571405978,1.099759256330504
2015,16507,ids,21575,178730,0.765098493626883,0.09235718681810552,1.4954345307068366,0.2963360902205029,0.259716712124969,2.2672629623498683,0.5981913304354401,3.883893395133256,1.2300502124372346
2016,17224,names,26922,231929,0.6397741623950672,0.07426410668782257,1.2701879503751579,0.26941753477981994,0.22369282957071002,1.7236637764830323,0.51934198305196,2.8413193670603967,1.095617792965687
2016,17224,ids,23104,178730,0.7454986149584487,0.09636882448385833,1.480090027700831,0.29559430270792325,0.2591882091472687,2.203651432583652,0.583481635222315,3.8362188365650973,1.2182979378270238
2017,18301,names,28893,231929,0.633406015297823,0.07890776918798426,1.2767106219499533,0.2708988591686259,0.22531988722619822,1.7158896693472543,0.5131300537367751,2.876682933582529,1.098935920657445
2017,18301,ids,24943,178730,0.7337128653329591,0.10239467352990544,1.478891873471515,0.29824879326272696,0.2597836694860117,2.188289766868927,0.5720932096067404,3.8419195766347274,1.2163332397867137
2018,18983,names,30446,231929,0.6234973395519937,0.0818483242716521,1.278131774288905,0.26947785796611384,0.22619622757876345,1.68018727510042,0.5060873467132796,2.8910858569270186,1.0989146539957813
2018,18983,ids,26394,178730,0.719216488595893,0.10621048508924076,1.4743502311131318,0.29915199169242257,0.2608367168628257,2.1515504502149194,0.5600682706382234,3.845646737894976,1.2108728414707046
2019,20305,names,33158,231929,0.6123710718378672,0.08754834453647452,1.280203872368659,0.2705521240978315,0.22666258333529649,1.6567829422180071,0.49632530846229606,2.9017431690693045,1.1000328394019208
2019,20305,ids,28819,178730,0.7045699018008953,0.11360711688021037,1.47295187202887,0.299293885134811,0.2610591533369455,2.108734632590422,0.5485515983798367,3.845275686179257,1.2093603371232713
2020,23462,names,39162,231929,0.599101169501047,0.10116026887538859,1.3079260507634953,0.28477241596010705,0.23311532379297553,1.7060748744333873,0.4761040911752312,3.0489760482099997,1.114476051047217
2020,23462,ids,34406,178730,0.6819159448933325,0.131270631679069,1.4887228971690984,0.31404673195117905,0.2655707619921516,2.141534739591514,0.5197360788157569,3.9536127419636107,1.2148462477474857
2021,23620,names,38959,231929,0.6062783952360173,0.10184151184198613,1.323673605585359,0.2886810190938049,0.2388411642653532,1.7502106499129009,0.47917481138303036,3.161477450653251,1.1194731783555931
2021,23620,ids,34979,178730,0.6752623002372852,0.1321546466737537,1.4742845707424455,0.3099864940074508,0.26622001590102584,2.093221929859627,0.5177112302792473,3.9248406186569085,1.2020005654186163
2022,24459,names,37586,231929,0.6507476187942319,0.10545899822790596,1.42236471026446,0.30331533254077103,0.25826677390995306,1.9738173039468734,0.503739875999494,3.6734954504336725,1.172239072467881
2022,24459,ids,36705,178730,0.6663669799754802,0.13684887819616182,1.4565045634109794,0.30280417439745294,0.26285516544770954,2.0177870321719933,0.5162091963980898,3.8284974799073694,1.1929497949113805
2023,25482,names,39125,231929,0.6512971246006389,0.10986983085340772,1.431182108626198,0.30358392501375786,0.2600410750959907,1.9772333743643649,0.5039708746268916,3.7216613418530353,1.1766844160454384
2023,25482,ids,38592,178730,0.6602922885572139,0.14257259553516477,1.4509742951907132,0.3010338959238182,0.2619187084791771,1.9877036007283209,0.5128021427604242,3.800373134328358,1.1899299797309746
2024,24157,names,41471,231929,0.5825034361360951,0.10415687559554863,1.3172578428299293,0.28937576573148044,0.2359998535549535,1.6856237787310102,0.4599345091811045,3.1087265800197725,1.1182057609199467
2024,24157,ids,40763,178730,0.5926207590216618,0.13515917864935936,1.3401368888452763,0.287382952882601,0.24014424837079887,1.7030910366717347,0.4692351726160982,3.218261658857297,1.1314563588439408
2025,21719,names,38019,231929,0.5712669980799074,0.09364503792108791,1.2684710276440727,0.27257462832420243,0.22491602040393147,1.5571288967551362,0.46172678711599313,2.852994555353902,1.0924128578985361
2025,21719,ids,37291,178730,0.5824193505135288,0.12151849157947743,1.293234292456625,0.2734675858185228,0.22913366233981672,1.5927281371892674,0.47016281866066884,2.9632350969402808,1.1076786475139966
